datetime,closing_price
2020-09-11T00:00:00,10394.41
2020-09-10T00:00:00,10343.23
2020-09-09T00:00:00,10224.56
2020-09-08T00:00:00,10125.69
2020-09-07T00:00:00,10375
2020-09-06T00:00:00,10257.86
2020-09-05T00:00:00,10168.36
2020-09-04T00:00:00,10500.05
2020-09-03T00:00:00,10172.52
2020-09-02T00:00:00,11395.48
2020-09-01T00:00:00,11924.22
2020-08-31T00:00:00,11655
2020-08-30T00:00:00,11716.01
2020-08-29T00:00:00,11474.31
2020-08-28T00:00:00,11535
2020-08-27T00:00:00,11330.06
2020-08-26T00:00:00,11463.27
2020-08-25T00:00:00,11324.92
2020-08-24T00:00:00,11753.85
2020-08-23T00:00:00,11650.01
2020-08-22T00:00:00,11672.93
2020-08-21T00:00:00,11529.22
2020-08-20T00:00:00,11864.26
2020-08-19T00:00:00,11758.87
2020-08-18T00:00:00,11950
2020-08-17T00:00:00,12304.26
2020-08-16T00:00:00,11918.84
2020-08-15T00:00:00,11859.24
2020-08-14T00:00:00,11779
2020-08-13T00:00:00,11795.95
2020-08-12T00:00:00,11566.45
2020-08-11T00:00:00,11388.53
2020-08-10T00:00:00,11899.73
2020-08-09T00:00:00,11688.48
2020-08-08T00:00:00,11774.98
2020-08-07T00:00:00,11606.52
2020-08-06T00:00:00,11773.89
2020-08-05T00:00:00,11756.75
2020-08-04T00:00:00,11197.04
2020-08-03T00:00:00,11233.13
2020-08-02T00:00:00,11068.54
2020-08-01T00:00:00,11810.07
2020-07-31T00:00:00,11351.62
2020-07-30T00:00:00,11115.95
2020-07-29T00:00:00,11110.12
2020-07-28T00:00:00,10934.23
2020-07-27T00:00:00,11048.91
2020-07-26T00:00:00,9941
2020-07-25T00:00:00,9711.33
2020-07-24T00:00:00,9551.21
2020-07-23T00:00:00,9613.24
2020-07-22T00:00:00,9536.18
2020-07-21T00:00:00,9394.14
2020-07-20T00:00:00,9161.05
2020-07-19T00:00:00,9212.87
2020-07-18T00:00:00,9175.85
2020-07-17T00:00:00,9154.29
2020-07-16T00:00:00,9130.11
2020-07-15T00:00:00,9190.16
2020-07-14T00:00:00,9256.94
2020-07-13T00:00:00,9236.92
2020-07-12T00:00:00,9303.37
2020-07-11T00:00:00,9235
2020-07-10T00:00:00,9291.05
2020-07-09T00:00:00,9236.95
2020-07-08T00:00:00,9435.28
2020-07-07T00:00:00,9253.94
2020-07-06T00:00:00,9343.31
2020-07-05T00:00:00,9074.39
2020-07-04T00:00:00,9138.51
2020-07-03T00:00:00,9063.87
2020-07-02T00:00:00,9091.53
2020-07-01T00:00:00,9239.97
2020-06-30T00:00:00,9136.2
2020-06-29T00:00:00,9184.45
2020-06-28T00:00:00,9113.24
2020-06-27T00:00:00,9002.46
2020-06-26T00:00:00,9155.42
2020-06-25T00:00:00,9243.51
2020-06-24T00:00:00,9285.91
2020-06-23T00:00:00,9623.56
2020-06-22T00:00:00,9690.74
2020-06-21T00:00:00,9286.14
2020-06-20T00:00:00,9355.74
2020-06-19T00:00:00,9301.91
2020-06-18T00:00:00,9376.14
2020-06-17T00:00:00,9457.51
2020-06-16T00:00:00,9526.25
2020-06-15T00:00:00,9432.53
2020-06-14T00:00:00,9325
2020-06-13T00:00:00,9475
2020-06-12T00:00:00,9464.17
2020-06-11T00:00:00,9268.16
2020-06-10T00:00:00,9894.04
2020-06-09T00:00:00,9779.41
2020-06-08T00:00:00,9781.51
2020-06-07T00:00:00,9750.12
2020-06-06T00:00:00,9671.7
2020-06-05T00:00:00,9613.21
2020-06-04T00:00:00,9788.03
2020-06-03T00:00:00,9668.07
2020-06-02T00:00:00,9522.46
2020-06-01T00:00:00,10208.96
2020-05-31T00:00:00,9446.57
2020-05-30T00:00:00,9700.33
2020-05-29T00:00:00,9423.84
2020-05-28T00:00:00,9580.19
2020-05-27T00:00:00,9208.53
2020-05-26T00:00:00,8844.42
